,name,code,capital,area,population,density,gdp,hdi,JAIR BOLSONARO,LULA,SIMONE TEBET,CIRO GOMES,SORAYA THRONICKE,FELIPE D&apos;AVILA,PADRE KELMON,SOFIA MANZANO,VERA,LÉO PÉRICLES,CONSTITUINTE EYMAEL,abstencoes,brancos,nulos,total_de_votos,perc_bolsonaro,perc_lula,cenario_favoravel_a_lula,cenario_favoravel_a_bolsonaro,cenario_intermediario,votos_validos,name,code,jair,lula,now_total,proporcao_urnas,cenario_atual,jair_projecao,lula_projecao,lula_prop,lula_projecao_otimista,lula_projecao_pessimista,lula_projecao_neutra,lula_projecao_ruidosa
12, Minas Gerais,MG,Belo Horizonte,"586,522","21,212,000",31.72,"583,000",0.787,5239264,5802571,500658,310324,44109,98526,7309,4431,2612,5241,1588,3628600,229425,409170,12655228,0.436000999614451,0.4828782738059821,0.563999000385549,0.4828782738059821,0.5255078526350013,12016633, Minas Gerais,MG,5944151,5977664,11921815,0.9921094369778956,0.5014055326307277,5991426.7302070195,6025206.2697929805,0.5014055326307277,6031141.2572185565,6023449.552165735,6027491.603571146,6025206.26979298
13, Pará,PA,Belém,"1,247,955","8,623,000",7.02,"156,000",0.698,1884673,2443730,204075,116057,19297,6130,2783,920,918,1004,349,1289969,40902,68473,4789311,0.402713413174881,0.5221716707237022,0.5972865868251189,0.5221716707237022,0.5645800541215779,4679936, Pará,PA,2068229,2498508,4566737,0.9758118487090421,0.5471101138515312,2119495.6822221205,2560440.3177778795,0.5471101138515312,2566120.244342016,2557617.3109542523,2562417.8975465083,2560440.3177778795
14, Paraíba,PB,João Pessoa,"56,470","4,103,000",78.93,"60,000",0.722,717416,1554868,57154,76225,8713,3996,1489,634,332,578,283,534574,41922,93869,2557479,0.2962462546785548,0.6420595881880737,0.7037537453214452,0.6420595881880737,0.6842753810703239,2421688, Paraíba,PB,802502,1601953,2404455,0.9928838892541071,0.6662437017952093,808253.6222869632,1613434.377713037,0.6662437017952093,1614080.7882931244,1613017.612883245,1613745.117641985,1613434.377713037
15, Paraná,PR,Curitiba,"199,308","11,515,000",43.46,"417,000",0.792,3628612,2363492,309685,180599,34125,37983,5161,2744,1170,2089,1104,1651892,108894,152885,6828543,0.5525723172022019,0.3599173047790358,0.4474276827977981,0.3599173047790358,0.3944344090155978,6566764, Paraná,PR,4158349,2505889,6664238,1.0148435363293091,0.3760203342077519,4097527.2060565664,2469236.7939434336,0.3760203342077519,2462276.4340469674,2470806.4206339684,2467441.900415614,2469236.7939434336
16, Pernambuco,PE,Recife,"98,148","9,599,000",103.83,"201,000",0.727,1630938,3558322,96570,130015,20686,8633,2991,1419,765,1214,456,1277050,90092,196270,5738371,0.2991444071350579,0.6526625322885564,0.700855592864942,0.6526625322885564,0.6857089450133544,5452009, Pernambuco,PE,1784896,3613710,5398606,0.9902048951129758,0.6693783543381384,1802552.1877432803,3649456.8122567195,0.6693783543381384,3651137.7912257668,3648564.1372118057,3650328.9147905484,3649456.8122567195
17, Piauí,PI,Teresina,"251,578","3,292,000",9.73,"26,000",0.697,406897,1518008,42179,59321,13053,2562,1122,427,317,350,150,454788,19477,51782,2115645,0.1990313962236094,0.7425251395773597,0.8009686037763906,0.7425251395773597,0.7886145030533974,2044386, Piauí,PI,462402,1534997,1997399,0.9770165712345907,0.7684979315599938,473279.5876897906,1571106.4123102094,0.7684979315599938,1572632.1117856412,1569886.0287333215,1572051.62965497,1571106.4123102096
18, Rio de Janeiro,RJ,Rio de Janeiro,"43,780","17,309,000",387.46,"693,000",0.796,4831246,3847143,365969,301489,44252,43091,7760,4458,2643,7080,1546,2916893,159773,293013,9909463,0.510881993748967,0.4068176379504132,0.4891180062510329,0.4068176379504132,0.4433015159841302,9456677, Rio de Janeiro,RJ,5400882,4154102,9554984,1.0103955120810408,0.43475760922257956,5345314.716289844,4111362.283710156,0.43475760922257956,4106018.2761594793,4114108.978466009,4110522.357868148,4111362.283710156
19, Rio Grande do Norte,RN,Natal,"52,811","3,552,000",62.74,"76,000",0.731,622731,1264179,38633,71740,4326,2937,860,606,422,587,243,464112,26151,57189,2090604,0.3102387129944043,0.6298020589219954,0.6897612870055957,0.6298020589219954,0.669973130673959,2007264, Rio Grande do Norte,RN,709819,1325042,2034861,1.013748565211153,0.651170767929603,700192.3596825532,1307071.6403174468,0.651170767929603,1306006.6577625065,1307661.3525799296,1306552.7515127906,1307071.6403174468
20, Rio Grande do Sul,RS,Porto Alegre,"281,730","11,407,000",36.84,"444,000",0.787,3245023,2806672,317957,190945,25207,40601,4394,2399,1337,2332,885,1699416,129345,122919,6890016,0.4888737934168073,0.4228347187421283,0.5111262065831926,0.4228347187421283,0.4637827914328135,6637752, Rio Grande do Sul,RS,3729182,2886942,6616124,0.996741667962286,0.4363494396416996,3741372.6343194293,2896379.3656805707,0.4363494396416996,2897996.6375959814,2896087.0692969547,2896972.694213109,2896379.3656805707
21, Rondônia,RO,Porto Velho,"237,591","1,803,000",7.34,"19,000",0.725,581306,261749,31217,19353,5777,2398,749,232,139,204,111,303171,9350,14242,926827,0.643582234966537,0.2897905860601061,0.356417765033463,0.2897905860601061,0.3104767779089145,903235, Rondônia,RO,633036,262856,895892,0.9918703327483989,0.2934014367803262,638224.5532497221,265010.44675027794,0.2934014367803262,265473.1756486407,264983.93227343936,265135.8309801852,265010.44675027794
22, Roraima,RR,Boa Vista,"224,301","651,000",2.54,8000,0.752,207587,68760,12956,6709,1138,794,190,64,75,59,37,61228,2255,4780,305404,0.6957391686133613,0.2304528955756127,0.3042608313866387,0.2304528955756127,0.2488176097442707,298369, Roraima,RR,212473,66305,278778,0.9343396934668146,0.237841580038597,227404.44560546384,70964.55439453616,0.237841580038597,72265.77394769565,70819.80267722183,71179.58579250002,70964.55439453616
23, Santa Catarina,SC,Florianópolis,"95,736","7,175,000",69.74,"293,000",0.808,2694406,1279216,191310,88672,20132,48980,3369,1812,838,1682,567,1014004,66871,89619,4487474,0.6221232865325755,0.295363824941399,0.3778767134674244,0.295363824941399,0.3219269472536643,4330984, Santa Catarina,SC,3043083,1350480,4393563,1.0144491413498642,0.3073769512352503,2999739.342231351,1331244.6577686493,0.3073769512352503,1326832.8531479219,1331996.4271989923,1330334.133567813,1331244.6577686493
24, São Paulo,SP,São Paulo,"248,223","46,004,000",175.73,"1,964,000",0.826,12239989,10490032,1625596,898540,153601,183719,15784,14943,7450,21665,5015,7495213,571257,962123,27189714,0.4770747449733075,0.4088671436846745,0.5229252550266925,0.4088671436846745,0.4615056008967171,25656334, São Paulo,SP,14023743,11348336,25372079,0.9889206696482825,0.44727655151948725,14180857.403847829,11475476.596152171,0.44727655151948725,11496980.118367614,11464558.529928088,11479521.274582896,11475476.596152173
25, Sergipe,SE,Aracaju,"21,915","2,317,000",97.64,"38,000",0.702,378610,828716,42073,40247,4416,2194,631,364,589,396,196,306652,20224,46068,1364724,0.2915901641364353,0.6382436662066246,0.7084098358635647,0.6382436662066246,0.6864061570777072,1298432, Sergipe,SE,421086,862951,1284037,0.988913551113959,0.6720608518290361,425806.684037921,872625.315962079,0.6720608518290361,873148.5595872562,872138.5175750444,872831.8166311336,872625.315962079
26, Tocantins,TO,Palmas,"277,721","1,605,000",5.74,"21,000",0.743,379194,434303,25209,18141,2788,1266,418,149,90,129,105,202897,6795,22862,891449,0.4400064052578812,0.5039533901451858,0.5599935947421187,0.5039533901451858,0.5338716676275389,861792, Tocantins,TO,411654,434593,846247,0.981962004752887,0.5135533715333703,419215.81283951376,442576.18716048624,0.5135533715333703,443298.10043026635,442426.95544980693,442892.0350732702,442576.1871604863
